CT16; 3; 23; 13; 3; 13; 13; 7; 3; 19; 7; 23
CT14; 4; 25; 23; 15; 0; 5; 16; 0; 23; 20; 13
CT10; 4; 14; 3; 22; 13; 1; 21; 22; 25; 15; 1
CT4; 9; 24; 12; 11; 13; 18; 1; 18; 11; 17; 9
CT6; 9; 4; 9; 17; 11; 12; 21; 1; 1; 2; 6
CT7; 18; 16; 4; 1; 21; 8; 3; 4; 2; 3; 9
CT17; 26; 21; 2; 13; 24; 5; 7; 17; 21; 19; 24
CT1; 31; 10; 18; 11; 6; 16; 19; 17; 22; 19; 11
CT2; 40; 20; 22; 18; 4; 5; 4; 21; 11; 1; 13
CT9; 43; 23; 1; 1; 0; 11; 11; 16; 11; 0; 21
CT18; 43; 19; 24; 17; 25; 8; 0; 21; 15; 2; 23
CT20; 44; 21; 19; 24; 21; 13; 13; 17; 16; 19; 13
CT19; 58; 4; 11; 22; 14; 22; 13; 1; 3; 16; 21
CT5; 60; 13; 1; 12; 20; 16; 16; 8; 15; 5; 10
CT12; 67; 0; 18; 12; 14; 3; 22; 22; 3; 20; 12
CT13; 70; 22; 24; 2; 4; 1; 7; 24; 14; 0; 17
CT3; 71; 20; 13; 16; 19; 3; 9; 7; 12; 12; 7
CT8; 72; 6; 8; 7; 1; 18; 8; 8; 11; 17; 1
CT11; 84; 17; 7; 7; 17; 21; 21; 3; 7; 9; 8
CT15; 91; 15; 3; 9; 10; 20; 20; 1; 15; 25; 8
